# phase flux
-53.423964 0.261228376885
-50.455966 0.32443992052
-47.487968 0.390525382099
-44.51997 0.457233798628
-41.551972 0.522642620302
-38.583974 0.585363044926
-35.615976 0.644582123703
-32.647978 0.699952817337
-29.67998 0.751389491931
-26.711982 0.798849111504
-23.743984 0.84217134049
-20.775986 0.881019538868
-17.807988 0.914923897556
-14.83999 0.943394392107
-11.871992 0.966055775025
-8.903994 0.982760647728
-5.935996 0.993652720984
-2.967998 0.999170997707
0.0 1.0
2.967998 0.996979657066
5.935996 0.990992922536
8.903994 0.982851598374
11.871992 0.973201203999
14.83999 0.962462525427
17.807988 0.950819867793
20.775986 0.938255486215
23.743984 0.924619517039
26.711982 0.909718082489
29.67998 0.893400167633
32.647978 0.875625443388
35.615976 0.856499198062
38.583974 0.836266903523
41.551972 0.815270403903
44.51997 0.793879512705
47.487968 0.772422882012
50.455966 0.751144164706
53.423964 0.730199688978
56.391962 0.709694639548
59.35996 0.689735542659
62.327958 0.670468825524
65.295956 0.652083624907
68.263954 0.634777104977
71.231952 0.618700423421
74.19995 0.603912031957
77.167948 0.590358845447
80.135946 0.577890493139
83.103944 0.566297010982
86.071942 0.555353200454
89.03994 0.544854805635
92.007938 0.534639012424
94.975936 0.524589480319
97.943934 0.514630802954
100.911932 0.50471830643
103.87993 0.49482766994
106.847928 0.484946679504
109.815926 0.4750696603
112.783924 0.465194167563
115.751922 0.45531922298
118.71992 0.445444462386
121.687918 0.435569759553
124.655916 0.425695073725
127.623914 0.415820392755
130.591912 0.405945713756
133.55991 0.396071037849
136.527908 0.386196371562
139.495906 0.376321735868
142.463904 0.366447192055
145.431902 0.356572907404
148.3999 0.346699309032
151.367898 0.336827416717
154.335896 0.326959505815
157.303894 0.317100317033
160.271892 0.307259064717
163.23989 0.29745243591
166.207888 0.287708542637
169.175886 0.278071346691
172.143884 0.268604476347
175.111882 0.259392806691
178.07988 0.250540016211
181.047878 0.242160886975
184.015876 0.234368473804
186.983874 0.227258103458
189.951872 0.220891758859
192.91987 0.215286936801
195.887868 0.210413065356
198.855866 0.206196221332
201.823864 0.202530024318
204.791862 0.1992882668
207.75986 0.196333880004
210.727858 0.193519533475
213.695856 0.190677431836
216.663854 0.187599503417
219.631852 0.184013904448
222.59985 0.179568831457
225.567848 0.173838184255
228.535846 0.166362670912
231.503844 0.156731698323
234.471842 0.144695721188
237.43984 0.130280305067
240.407838 0.113861010865
243.375836 0.0961614966779
